Wall time,Step,Value
1524862467.927692,1,0.34042856097221375
1524862493.19261,2,0.40700000524520874
1524862518.2300093,3,0.44185712933540344
1524862543.7145627,4,0.45914286375045776
1524862569.900695,5,0.45157143473625183
1524862595.859498,6,0.46700000762939453
1524862620.7659152,7,0.490285724401474
1524862645.8133855,8,0.49714285135269165
1524862670.6319294,9,0.5122857093811035
1524862695.1816154,10,0.5104285478591919
1524862719.740462,11,0.540142834186554
1524862744.472373,12,0.5567142963409424
1524862769.5406382,13,0.6031428575515747
1524862794.0634797,14,0.6435714364051819
1524862818.6045814,15,0.7008571624755859
1524862843.8007731,16,0.7365714311599731
1524862868.923469,17,0.7559999823570251
1524862893.8540003,18,0.7524285912513733
1524862918.9738286,19,0.7541428804397583
1524862943.9523888,20,0.755142867565155
1524862969.0491297,21,0.7581428289413452
1524862993.9330301,22,0.7631428837776184
1524863018.740178,23,0.7691428661346436
1524863043.5386713,24,0.774571418762207
1524863068.6355186,25,0.7717142701148987
1524863093.9731221,26,0.7787142992019653
1524863119.3269129,27,0.784428596496582
1524863144.2040138,28,0.7889999747276306
1524863168.855498,29,0.7958571314811707
1524863193.8616261,30,0.7997142672538757
1524863218.7492845,31,0.798285722732544
1524863244.1283958,32,0.8127142786979675
1524863269.2207537,33,0.8159999847412109
1524863294.1404226,34,0.821142852306366
1524863319.0768561,35,0.8149999976158142
1524863344.2388728,36,0.8322857022285461
1524863369.8110378,37,0.8465714454650879
1524863394.7163324,38,0.8454285860061646
1524863419.5622756,39,0.859000027179718
1524863444.8394408,40,0.8697142601013184
1524863470.0389395,41,0.8690000176429749
1524863494.7993333,42,0.8845714330673218
1524863519.3861485,43,0.8798571228981018
1524863544.32077,44,0.9028571248054504
1524863570.0060968,45,0.9078571200370789
1524863595.3430154,46,0.9122856855392456
1524863620.152424,47,0.9235714077949524
1524863644.96594,48,0.932285726070404
1524863669.7509308,49,0.9380000233650208
1524863694.4372623,50,0.9437142610549927
1524863718.953034,51,0.9572857022285461
1524863743.6226823,52,0.9637143015861511
1524863768.140264,53,0.9605714082717896
1524863792.7152655,54,0.9459999799728394
1524863817.3530276,55,0.958142876625061
1524863841.9580677,56,0.9729999899864197
1524863866.980493,57,0.9642857313156128
1524863891.6584325,58,0.9742857217788696
1524863916.2373168,59,0.9618571400642395
1524863940.8424113,60,0.9865714311599731
1524863965.482238,61,0.9831428527832031
1524863990.0377896,62,0.9807142615318298
1524864014.729763,63,0.9842857122421265
1524864039.794117,64,0.993571400642395
1524864064.4138765,65,0.9814285635948181
1524864089.0106366,66,0.975857138633728
1524864113.7159312,67,0.978857159614563
1524864138.5954647,68,0.9738571643829346
1524864163.40397,69,0.9814285635948181
1524864188.7672813,70,0.9875714182853699
1524864213.7129107,71,0.9844285845756531
1524864238.4792016,72,0.9705714583396912
1524864263.1706967,73,0.9869999885559082
1524864287.943651,74,0.9984285831451416
1524864312.692002,75,0.9985714554786682
1524864337.27108,76,0.9991428852081299
1524864362.22368,77,1.0
1524864386.9121625,78,1.0
1524864411.2234712,79,1.0
1524864436.1673207,80,1.0
1524864460.9043713,81,1.0
1524864485.6286411,82,1.0
1524864510.4121187,83,1.0
1524864535.171044,84,1.0
1524864559.985702,85,1.0
1524864584.5990686,86,1.0
1524864609.3098266,87,1.0
1524864633.932619,88,1.0
1524864659.3538845,89,1.0
1524864684.0382073,90,1.0
1524864708.6650295,91,1.0
1524864733.4860923,92,1.0
1524864758.014227,93,1.0
1524864783.069571,94,1.0
1524864807.5083761,95,1.0
1524864832.0060234,96,1.0
1524864857.2024033,97,1.0
1524864882.4217114,98,1.0
1524864907.7116013,99,1.0
1524864932.0820081,100,1.0
